Complaint_Type,Event_Year,Complaint_Year,Review_Year,Event_Date,Complaint_Date,Review_Completion_Date,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,CRB_Finding,CRB_Individual_Sustained,CRB_Split,RPD_Finding,RPD_Individual_Sustained,CRB_RPD,Concurrence,RPD_Action_Sustained,RPD_Allegation_Sustained,RPD_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,FID
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.04.A.05,15-0877.04.A,5,15-0877.04,Force,5,15-0877,20,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,563
Citizen,2014,2015,2015,2014/08/21 00:00:00+00,2015/06/19 00:00:00+00,2015/11/24 00:00:00+00,203,14-0762.01.B.01,14-0762.01.B,1,14-0762.01,Force,2,14-0762,2,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,0,1,1,1,1,1,564
Citizen,2014,2015,2015,2014/08/21 00:00:00+00,2015/06/19 00:00:00+00,2015/11/24 00:00:00+00,203,14-0762.01.C.01,14-0762.01.C,1,14-0762.01,Force,3,14-0762,3,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,1,1,1,1,1,565
Internal,2014,2014,2015,2014/09/03 00:00:00+00,2014/09/03 00:00:00+00,2015/09/08 00:00:00+00,227,14-0728.01.A.01,14-0728.01.A,1,14-0728.01,Force,1,14-0728,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,566
Internal,2014,2015,2015,2014/09/19 00:00:00+00,2015/09/30 00:00:00+00,2015/12/21 00:00:00+00,205,15-0805.01.A.01,15-0805.01.A,1,15-0805.01,Conduct,1,15-0805,1,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,1,1,1,1,1,567
Internal,2014,2015,2015,2014/09/19 00:00:00+00,2015/09/30 00:00:00+00,2015/12/21 00:00:00+00,205,15-0805.02.A.01,15-0805.02.A,1,15-0805.02,Conduct,1,15-0805,2,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,1,1,1,1,1,568
Internal,2014,2015,2015,2014/09/19 00:00:00+00,2015/09/30 00:00:00+00,2015/12/21 00:00:00+00,205,15-0805.02.B.01,15-0805.02.B,1,15-0805.02,Conduct,2,15-0805,3,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,0,1,1,1,1,1,569
Internal,2014,2015,2015,2014/09/19 00:00:00+00,2015/09/30 00:00:00+00,2015/12/21 00:00:00+00,205,15-0805.03.A.01,15-0805.03.A,1,15-0805.03,Conduct,1,15-0805,4,Unprovable,0,1,Unprovable,0,Unprovable-Unprovable,1,0,0,1,0,0,1,570
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.A.01,14-0787.01.A,1,14-0787.01,Force,1,14-0787,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,1,1,571
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.B.01,14-0787.01.B,1,14-0787.01,Force,2,14-0787,2,Sustained,1,1,Unprovable,0,Sustained-Unprovable,0,0,0,0,1,1,1,572
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.C.01,14-0787.01.C,1,14-0787.01,Force,3,14-0787,3,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,1,1,573
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.C.02,14-0787.01.C,2,14-0787.01,Force,4,14-0787,4,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,1,1,574
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.01,14-0787.01.D,1,14-0787.01,Force,5,14-0787,5,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,575
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.02,14-0787.01.D,2,14-0787.01,Force,6,14-0787,6,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,576
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.03,14-0787.01.D,3,14-0787.01,Force,7,14-0787,7,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,577
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.04,14-0787.01.D,4,14-0787.01,Force,8,14-0787,8,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,578
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.05,14-0787.01.D,5,14-0787.01,Force,9,14-0787,9,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,579
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.06,14-0787.01.D,6,14-0787.01,Force,10,14-0787,10,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,580
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.01.D.07,14-0787.01.D,7,14-0787.01,Force,11,14-0787,11,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,1,1,581
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.02.A.01,14-0787.02.A,1,14-0787.02,Procedure,1,14-0787,12,Sustained,1,0,Unfounded,0,Sustained-Unfounded,0,0,0,0,1,1,1,582
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.02.A.02,14-0787.02.A,2,14-0787.02,Procedure,2,14-0787,13,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,1,1,1,583
