Complaint_Type,Event_Year,Complaint_Year,Review_Year,Event_Date,Complaint_Date,Review_Completion_Date,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,CRB_Finding,CRB_Individual_Sustained,CRB_Split,RPD_Finding,RPD_Individual_Sustained,CRB_RPD,Concurrence,RPD_Action_Sustained,RPD_Allegation_Sustained,RPD_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,FID
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.A.02,13-0078.03.A,2,13-0078.03,Force,2,13-0078,4,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,1
Citizen,2012,2012,2013,2012/07/04 00:00:00+00,2012/07/11 00:00:00+00,2013/04/01 00:00:00+00,201,12-0948.01.A.01,12-0948.01.A,1,12-0948.01,Force,1,12-0948,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,1,0,0,1,2
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.B.01,13-0078.03.B,1,13-0078.03,Force,3,13-0078,5,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,3
Citizen,2012,2012,2013,2012/07/04 00:00:00+00,2012/07/11 00:00:00+00,2013/04/01 00:00:00+00,201,12-0948.02.A.01,12-0948.02.A,1,12-0948.02,Satellite,1,12-0948,2,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,1,1,1,1,1,4
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.B.02,13-0078.03.B,2,13-0078.03,Force,4,13-0078,6,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,5
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.01.A.01,12-0842.01.A,1,12-0842.01,Force,1,12-0842,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,6
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.01.B.01,12-0842.01.B,1,12-0842.01,Force,2,12-0842,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,7
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.04.A.01,13-0078.04.A,1,13-0078.04,Force,1,13-0078,7,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,8
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.02.A.01,12-0842.02.A,1,12-0842.02,Procedure,1,12-0842,3,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,9
Internal,2013,2013,2013,2013/01/29 00:00:00+00,2013/01/29 00:00:00+00,2013/10/10 00:00:00+00,209,13-0115.01.A.01,13-0115.01.A,1,13-0115.01,Force,1,13-0115,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,10
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.02.B.01,12-0842.02.B,1,12-0842.02,Procedure,2,12-0842,4,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,11
Internal,2013,2013,2013,2013/01/29 00:00:00+00,2013/01/29 00:00:00+00,2013/10/10 00:00:00+00,209,13-0115.01.A.02,13-0115.01.A,2,13-0115.01,Force,2,13-0115,2,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,12
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.03.A.01,12-0842.03.A,1,12-0842.03,Courtesy,1,12-0842,5,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,13
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.03.B.01,12-0842.03.B,1,12-0842.03,Courtesy,2,12-0842,6,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,14
Internal,2013,2013,2013,2013/02/14 00:00:00+00,2013/02/21 00:00:00+00,2013/05/06 00:00:00+00,227,13-0172.01.A.01,13-0172.01.A,1,13-0172.01,Force,1,13-0172,1,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,0,0,0,1,1,1,15
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/11/08 00:00:00+00,287,12-0819.01.A.01,12-0819.01.A,1,12-0819.01,Force,1,12-0819,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,16
Citizen,2012,2012,2013,2012/07/22 00:00:00+00,2012/08/06 00:00:00+00,2013/02/18 00:00:00+00,227,12-0956.01.A.01,12-0956.01.A,1,12-0956.01,Force,1,12-0956,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,17
Internal,2013,2013,2014,2013/02/23 00:00:00+00,2013/02/23 00:00:00+00,2014/02/17 00:00:00+00,247,13-0179.01.A.01,13-0179.01.A,1,13-0179.01,Force,1,13-0179,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,18
Citizen,2012,2012,2013,2012/07/24 00:00:00+00,2012/09/07 00:00:00+00,2013/03/18 00:00:00+00,267,12-1063.01.A.01,12-1063.01.A,1,12-1063.01,Courtesy,1,12-1063,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,19
Citizen,2012,2012,2013,2012/07/24 00:00:00+00,2012/09/07 00:00:00+00,2013/03/18 00:00:00+00,267,12-1063.02.A.01,12-1063.02.A,1,12-1063.02,Courtesy,1,12-1063,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,20
Internal,2013,2013,2014,2013/02/23 00:00:00+00,2013/02/23 00:00:00+00,2014/02/17 00:00:00+00,247,13-0179.02.A.01,13-0179.02.A,1,13-0179.02,Satellite,1,13-0179,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,21
Citizen,2013,2013,2013,2013/03/13 00:00:00+00,2013/06/13 00:00:00+00,2013/12/31 00:00:00+00,247,13-0605.01.A.01,13-0605.01.A,1,13-0605.01,Procedure,1,13-0605,1,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,22
Citizen,2012,2012,2013,2012/07/24 00:00:00+00,2012/09/07 00:00:00+00,2013/03/18 00:00:00+00,267,12-1063.03.A.01,12-1063.03.A,1,12-1063.03,Force,1,12-1063,3,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,23
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.A.01,12-1035.01.A,1,12-1035.01,Force,1,12-1035,1,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,24
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.A.02,12-1035.01.A,2,12-1035.01,Force,2,12-1035,2,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,25
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.A.03,12-1035.01.A,3,12-1035.01,Force,3,12-1035,3,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,26
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.A.04,12-1035.01.A,4,12-1035.01,Force,4,12-1035,4,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,27
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.A.05,12-1035.01.A,5,12-1035.01,Force,5,12-1035,5,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,28
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.B.01,12-1035.01.B,1,12-1035.01,Force,6,12-1035,6,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,29
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.B.02,12-1035.01.B,2,12-1035.01,Force,7,12-1035,7,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,30
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.B.03,12-1035.01.B,3,12-1035.01,Force,8,12-1035,8,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,31
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.B.04,12-1035.01.B,4,12-1035.01,Force,9,12-1035,9,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,32
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.01.B.05,12-1035.01.B,5,12-1035.01,Force,10,12-1035,10,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,33
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.02.A.01,12-1035.02.A,1,12-1035.02,Force,1,12-1035,11,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,34
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.03.A.01,12-1035.03.A,1,12-1035.03,Procedure,1,12-1035,12,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,35
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.03.A.02,12-1035.03.A,2,12-1035.03,Procedure,2,12-1035,13,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,36
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.03.A.03,12-1035.03.A,3,12-1035.03,Procedure,3,12-1035,14,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,37
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.03.A.04,12-1035.03.A,4,12-1035.03,Procedure,4,12-1035,15,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,38
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.03.A.05,12-1035.03.A,5,12-1035.03,Procedure,5,12-1035,16,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,39
Citizen,2012,2012,2013,2012/08/03 00:00:00+00,2012/08/28 00:00:00+00,2013/06/08 00:00:00+00,253,12-1035.04.A.01,12-1035.04.A,1,12-1035.04,Courtesy,1,12-1035,17,Unprovable,0,0,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,40
Citizen,2012,2012,2013,2012/08/17 00:00:00+00,2012/12/14 00:00:00+00,2013/08/07 00:00:00+00,225,12-1433.01.A.01,12-1433.01.A,1,12-1433.01,Courtesy,1,12-1433,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,41
Citizen,2012,2012,2013,2012/08/17 00:00:00+00,2012/12/14 00:00:00+00,2013/08/07 00:00:00+00,225,12-1433.02.A.01,12-1433.02.A,1,12-1433.02,Force,1,12-1433,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,42
Citizen,2012,2012,2013,2012/08/17 00:00:00+00,2012/12/14 00:00:00+00,2013/08/07 00:00:00+00,225,12-1433.03.A.01,12-1433.03.A,1,12-1433.03,Procedure,1,12-1433,3,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,43
Citizen,2012,2012,2013,2012/09/28 00:00:00+00,2012/10/15 00:00:00+00,2013/05/09 00:00:00+00,225,12-1180.01.A.01,12-1180.01.A,1,12-1180.01,Procedure,1,12-1180,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,44
Citizen,2012,2012,2013,2012/09/28 00:00:00+00,2012/10/15 00:00:00+00,2013/05/09 00:00:00+00,225,12-1180.02.A.01,12-1180.02.A,1,12-1180.02,Force,1,12-1180,2,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,45
Citizen,2012,2012,2013,2012/09/28 00:00:00+00,2012/10/15 00:00:00+00,2013/05/09 00:00:00+00,225,12-1180.03.A.01,12-1180.03.A,1,12-1180.03,Force,1,12-1180,3,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,46
Citizen,2012,2012,2013,2012/09/28 00:00:00+00,2012/10/15 00:00:00+00,2013/05/09 00:00:00+00,225,12-1180.03.A.02,12-1180.03.A,2,12-1180.03,Force,2,12-1180,4,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,47
Citizen,2012,2012,2013,2012/09/28 00:00:00+00,2012/10/15 00:00:00+00,2013/05/09 00:00:00+00,225,12-1180.04.A.01,12-1180.04.A,1,12-1180.04,Procedure,1,12-1180,5,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,48
Citizen,2012,2012,2013,2012/10/08 00:00:00+00,2012/10/12 00:00:00+00,2013/03/26 00:00:00+00,251,12-1177.01.A.01,12-1177.01.A,1,12-1177.01,Courtesy,1,12-1177,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,49
Citizen,2012,2012,2013,2012/10/08 00:00:00+00,2012/10/12 00:00:00+00,2013/03/26 00:00:00+00,251,12-1177.02.A.01,12-1177.02.A,1,12-1177.02,Force,1,12-1177,2,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,50
Citizen,2013,2013,2013,2013/03/13 00:00:00+00,2013/06/13 00:00:00+00,2013/12/31 00:00:00+00,247,13-0605.01.A.02,13-0605.01.A,2,13-0605.01,Procedure,2,13-0605,2,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,51
Citizen,2012,2012,2013,2012/10/08 00:00:00+00,2012/10/12 00:00:00+00,2013/03/26 00:00:00+00,251,12-1177.03.A.01,12-1177.03.A,1,12-1177.03,Force,1,12-1177,3,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,52
Citizen,2012,2015,2015,2012/11/05 00:00:00+00,2015/01/06 00:00:00+00,2015/02/12 00:00:00+00,231,15-0008.01.A.01,15-0008.01.A,1,15-0008.01,Force,1,15-0008,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,53
Citizen,2012,2015,2015,2012/11/05 00:00:00+00,2015/01/06 00:00:00+00,2015/02/12 00:00:00+00,231,15-0008.02.A.01,15-0008.02.A,1,15-0008.02,Procedure,1,15-0008,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,54
Citizen,2012,2015,2015,2012/11/05 00:00:00+00,2015/01/06 00:00:00+00,2015/02/12 00:00:00+00,231,15-0008.02.A.02,15-0008.02.A,2,15-0008.02,Procedure,2,15-0008,3,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,55
Citizen,2012,2012,2013,2012/11/14 00:00:00+00,2012/11/27 00:00:00+00,2013/05/29 00:00:00+00,OOC,12-1366.01.A.01,12-1366.01.A,1,12-1366.01,Force,1,12-1366,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,56
Citizen,2012,2012,2013,2012/11/14 00:00:00+00,2012/12/17 00:00:00+00,2013/08/18 00:00:00+00,229,12-1441.01.A.01,12-1441.01.A,1,12-1441.01,Force,1,12-1441,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,57
Citizen,2012,2012,2013,2012/11/14 00:00:00+00,2012/12/17 00:00:00+00,2013/08/18 00:00:00+00,229,12-1441.02.A.01,12-1441.02.A,1,12-1441.02,Force,1,12-1441,2,Unprovable,0,1,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,58
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.01.A.01,13-0078.01.A,1,13-0078.01,Courtesy,1,13-0078,1,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,59
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.02.A.01,13-0078.02.A,1,13-0078.02,Procedure,1,13-0078,2,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,60
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.A.01,13-0078.03.A,1,13-0078.03,Force,1,13-0078,3,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,61
Citizen,2013,2013,2013,2013/05/31 00:00:00+00,2013/06/04 00:00:00+00,2013/12/31 00:00:00+00,287,13-0552.03.A.01,13-0552.03.A,1,13-0552.03,Force,1,13-0552,5,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,1,62
Citizen,2013,2013,2013,2013/03/13 00:00:00+00,2013/06/13 00:00:00+00,2013/12/31 00:00:00+00,247,13-0605.02.A.01,13-0605.02.A,1,13-0605.02,Force,1,13-0605,3,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,63
Citizen,2013,2013,2013,2013/03/13 00:00:00+00,2013/06/13 00:00:00+00,2013/12/31 00:00:00+00,247,13-0605.02.A.02,13-0605.02.A,2,13-0605.02,Force,2,13-0605,4,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,64
Citizen,2013,2013,2013,2013/04/05 00:00:00+00,2013/05/24 00:00:00+00,2013/12/31 00:00:00+00,233,13-0514.01.A.01,13-0514.01.A,1,13-0514.01,Force,1,13-0514,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,65
Citizen,2013,2013,2013,2013/04/05 00:00:00+00,2013/05/24 00:00:00+00,2013/12/31 00:00:00+00,233,13-0514.01.A.02,13-0514.01.A,2,13-0514.01,Force,2,13-0514,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,66
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0384.01.A.01,13-0384.01.A,1,13-0384.01,Procedure,1,13-0384,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,67
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0384.01.A.02,13-0384.01.A,2,13-0384.01,Procedure,2,13-0384,2,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,68
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0384.01.B.01,13-0384.01.B,1,13-0384.01,Procedure,3,13-0384,3,Unprovable,0,0,Unfounded,0,Unprovable-Unfounded,0,0,0,0,0,0,0,69
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0384.01.B.02,13-0384.01.B,2,13-0384.01,Procedure,4,13-0384,4,Unprovable,0,0,Unfounded,0,Unprovable-Unfounded,0,0,0,0,0,0,0,70
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0384.02.A.01,13-0384.02.A,1,13-0384.02,Procedure,1,13-0384,5,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,71
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0384.02.A.02,13-0384.02.A,2,13-0384.02,Procedure,2,13-0384,6,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,72
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.01.A.01,13-0385.01.A,1,13-0385.01,Force,1,13-0385,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,73
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.01.A.02,13-0385.01.A,2,13-0385.01,Force,2,13-0385,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,74
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.02.A.01,13-0385.02.A,1,13-0385.02,Force,1,13-0385,3,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,0,0,0,1,1,1,75
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.03.A.01,13-0385.03.A,1,13-0385.03,Force,1,13-0385,4,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,76
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.03.A.02,13-0385.03.A,2,13-0385.03,Force,2,13-0385,5,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,77
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.04.A.01,13-0385.04.A,1,13-0385.04,Procedure,1,13-0385,6,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,78
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.04.A.02,13-0385.04.A,2,13-0385.04,Procedure,2,13-0385,7,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,79
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.05.A.01,13-0385.05.A,1,13-0385.05,Courtesy,1,13-0385,8,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,80
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.05.A.02,13-0385.05.A,2,13-0385.05,Courtesy,2,13-0385,9,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,81
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.05.A.03,13-0385.05.A,3,13-0385.05,Courtesy,3,13-0385,10,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,82
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.05.A.04,13-0385.05.A,4,13-0385.05,Courtesy,4,13-0385,11,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,83
Citizen,2013,2013,2014,2013/04/07 00:00:00+00,2013/04/18 00:00:00+00,2014/01/29 00:00:00+00,207,13-0385.05.A.05,13-0385.05.A,5,13-0385.05,Courtesy,5,13-0385,12,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,84
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.01.A.01,13-0395.01.A,1,13-0395.01,Procedure,1,13-0395,1,Unfounded,0,0,Unprovable,0,Unfounded-Unprovable,0,0,0,0,1,1,1,85
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.01.A.02,13-0395.01.A,2,13-0395.01,Procedure,2,13-0395,2,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,0,0,0,1,1,1,86
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.02.A.01,13-0395.02.A,1,13-0395.02,Courtesy,1,13-0395,3,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,87
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.02.A.02,13-0395.02.A,2,13-0395.02,Courtesy,2,13-0395,4,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,88
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.02.A.03,13-0395.02.A,3,13-0395.02,Courtesy,3,13-0395,5,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,89
Citizen,2013,2013,2013,2013/05/31 00:00:00+00,2013/06/04 00:00:00+00,2013/12/31 00:00:00+00,287,13-0552.03.A.02,13-0552.03.A,2,13-0552.03,Force,2,13-0552,6,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,1,90
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.02.A.04,13-0395.02.A,4,13-0395.02,Courtesy,4,13-0395,6,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,91
Citizen,2013,2013,2013,2013/04/21 00:00:00+00,2013/04/22 00:00:00+00,2013/08/20 00:00:00+00,265,13-0395.03.A.01,13-0395.03.A,1,13-0395.03,Procedure,1,13-0395,7,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,92
