X,Y,OBJECTID,CONAME,ADDR,CITY,STATE_NAME,ZIP,NAICS,SIC,EMPNUM,SALESVOL,DESC_,LATITUDE,LONGITUDE
-77.6183909999999,43.1874200000001,131,Christ Tabernacle Apostolic,206 Norton St,Rochester,New York,14621,81311008,866107,1,0,"Christ Tabernacle Apostolic, 206 Norton St, Rochester, New York, 14621",43.1874200000001,-77.6183909999999
-77.6183909999999,43.1874200000001,132,Christ Tabernacle Apostolic,Norton St,Rochester,New York,14621,81311008,866107,1,0,"Christ Tabernacle Apostolic, Norton St, Rochester, New York, 14621",43.1874200000001,-77.6183909999999
-77.6183909999999,43.1874200000001,133,Christ Tabernacle Apostolic,Norton St,Rochester,New York,14621,81311008,866107,1,0,"Christ Tabernacle Apostolic, Norton St, Rochester, New York, 14621",43.1874200000001,-77.6183909999999
-77.628971,43.16121,134,Christ Temple Apostolic Faith,766 W Broad St,Rochester,New York,14608,81311008,866107,5,0,"Christ Temple Apostolic Faith, 766 W Broad St, Rochester, New York, 14608",43.16121,-77.628971
-77.628971,43.16121,135,Christ Temple Apostolic Faith,W Broad St,Rochester,New York,14608,81311008,866107,5,0,"Christ Temple Apostolic Faith, W Broad St, Rochester, New York, 14608",43.16121,-77.628971
-77.628971,43.16121,136,Christ Temple Apostolic Faith,W Broad St,Rochester,New York,14608,81311008,866107,5,0,"Christ Temple Apostolic Faith, W Broad St, Rochester, New York, 14608",43.16121,-77.628971
-77.655861,43.1641600000001,137,Christian Assembly,1165 Lyell Ave,Rochester,New York,14606,81311008,866107,2,0,"Christian Assembly, 1165 Lyell Ave, Rochester, New York, 14606",43.1641600000001,-77.655861
-77.655861,43.1641600000001,138,Christian Assembly,Lyell Ave,Rochester,New York,14606,81311008,866107,2,0,"Christian Assembly, Lyell Ave, Rochester, New York, 14606",43.1641600000001,-77.655861
-77.655861,43.1641600000001,139,Christian Assembly,Lyell Ave,Rochester,New York,14606,81311008,866107,2,0,"Christian Assembly, Lyell Ave, Rochester, New York, 14606",43.1641600000001,-77.655861
-77.614231,43.2500500000001,140,Christian Community Chr-rchstr,4352 Lake Ave,Rochester,New York,14612,81311008,866107,5,0,"Christian Community Chr-rchstr, 4352 Lake Ave, Rochester, New York, 14612",43.2500500000001,-77.614231
-77.614231,43.2500500000001,141,Christian Community Chr-rchstr,Lake Ave,Rochester,New York,14612,81311008,866107,5,0,"Christian Community Chr-rchstr, Lake Ave, Rochester, New York, 14612",43.2500500000001,-77.614231
-77.614231,43.2500500000001,142,Christian Community Chr-rchstr,Lake Ave,Rochester,New York,14612,81311008,866107,5,0,"Christian Community Chr-rchstr, Lake Ave, Rochester, New York, 14612",43.2500500000001,-77.614231
-77.649857,43.2017050000002,143,Christian Family Faith,,Rochester,New York,14615,81311008,866107,2,0,"Christian Family Faith, Rochester, New York, 14615",43.2017050000002,-77.649857
-77.649857,43.2017050000002,144,Christian Family Faith,,Rochester,New York,14615,81311008,866107,2,0,"Christian Family Faith, Rochester, New York, 14615",43.2017050000002,-77.649857
-77.649857,43.2017050000002,145,Christian Family Faith,,Rochester,New York,14615,81311008,866107,2,0,"Christian Family Faith, Rochester, New York, 14615",43.2017050000002,-77.649857
-77.6442209999999,43.1493500000001,146,Church of Divine Inspiration,27 Appleton St,Rochester,New York,14611,81311008,866107,5,0,"Church of Divine Inspiration, 27 Appleton St, Rochester, New York, 14611",43.1493500000001,-77.6442209999999
-77.6442209999999,43.1493500000001,147,Church of Divine Inspiration,Appleton St,Rochester,New York,14611,81311008,866107,5,0,"Church of Divine Inspiration, Appleton St, Rochester, New York, 14611",43.1493500000001,-77.6442209999999
-77.6442209999999,43.1493500000001,148,Church of Divine Inspiration,Appleton St,Rochester,New York,14611,81311008,866107,5,0,"Church of Divine Inspiration, Appleton St, Rochester, New York, 14611",43.1493500000001,-77.6442209999999
-77.6332109999999,43.14761,149,Church of Faith,246 Jefferson Ter,Rochester,New York,14611,81311021,866110,1,0,"Church of Faith, 246 Jefferson Ter, Rochester, New York, 14611",43.14761,-77.6332109999999
-77.6332109999999,43.14761,150,Church of Faith,Jefferson Ter,Rochester,New York,14611,81311021,866110,1,0,"Church of Faith, Jefferson Ter, Rochester, New York, 14611",43.14761,-77.6332109999999
-77.6332109999999,43.14761,151,Church of Faith,Jefferson Ter,Rochester,New York,14611,81311021,866110,1,0,"Church of Faith, Jefferson Ter, Rochester, New York, 14611",43.14761,-77.6332109999999
-77.6002309999999,43.1697700000002,152,Church of Jesus Christ,16 Helena St,Rochester,New York,14605,81311008,866107,2,0,"Church of Jesus Christ, 16 Helena St, Rochester, New York, 14605",43.1697700000002,-77.6002309999999
-77.565731,43.1617900000001,153,Church of Jesus Christ,915 Culver Rd,Rochester,New York,14609,81311008,866107,2,0,"Church of Jesus Christ, 915 Culver Rd, Rochester, New York, 14609",43.1617900000001,-77.565731
-77.6002309999999,43.1697700000002,154,Church of Jesus Christ,Helena St,Rochester,New York,14605,81311008,866107,2,0,"Church of Jesus Christ, Helena St, Rochester, New York, 14605",43.1697700000002,-77.6002309999999
-77.565731,43.1617900000001,155,Church of Jesus Christ,Culver Rd,Rochester,New York,14609,81311008,866107,2,0,"Church of Jesus Christ, Culver Rd, Rochester, New York, 14609",43.1617900000001,-77.565731
-77.6002309999999,43.1697700000002,156,Church of Jesus Christ,Helena St,Rochester,New York,14605,81311008,866107,2,0,"Church of Jesus Christ, Helena St, Rochester, New York, 14605",43.1697700000002,-77.6002309999999
-77.565731,43.1617900000001,157,Church of Jesus Christ,Culver Rd,Rochester,New York,14609,81311008,866107,2,0,"Church of Jesus Christ, Culver Rd, Rochester, New York, 14609",43.1617900000001,-77.565731
-77.5749109999999,43.17561,158,Church of Life Ministries,1751 Clifford Ave,Rochester,New York,14609,81311008,866107,2,0,"Church of Life Ministries, 1751 Clifford Ave, Rochester, New York, 14609",43.17561,-77.5749109999999
-77.5749109999999,43.17561,159,Church of Life Ministries,Clifford Ave,Rochester,New York,14609,81311008,866107,2,0,"Church of Life Ministries, Clifford Ave, Rochester, New York, 14609",43.17561,-77.5749109999999
-77.5749109999999,43.17561,160,Church of Life Ministries,Clifford Ave,Rochester,New York,14609,81311008,866107,2,0,"Church of Life Ministries, Clifford Ave, Rochester, New York, 14609",43.17561,-77.5749109999999
-77.6167109999999,43.1417400000001,161,Church of Love Faith Ctr,700 Exchange St,Rochester,New York,14608,81311008,866107,10,0,"Church of Love Faith Ctr, 700 Exchange St, Rochester, New York, 14608",43.1417400000001,-77.6167109999999
-77.6167109999999,43.1417400000001,162,Church of Love Faith Ctr,Exchange St,Rochester,New York,14608,81311008,866107,10,0,"Church of Love Faith Ctr, Exchange St, Rochester, New York, 14608",43.1417400000001,-77.6167109999999
-77.6167109999999,43.1417400000001,163,Church of Love Faith Ctr,Exchange St,Rochester,New York,14608,81311008,866107,10,0,"Church of Love Faith Ctr, Exchange St, Rochester, New York, 14608",43.1417400000001,-77.6167109999999
-77.663611,43.14133,164,Church of Saving Grace,1028 Chili Ave,Rochester,New York,14611,81311008,866107,5,0,"Church of Saving Grace, 1028 Chili Ave, Rochester, New York, 14611",43.14133,-77.663611
-77.663611,43.14133,165,Church of Saving Grace,Chili Ave,Rochester,New York,14611,81311008,866107,5,0,"Church of Saving Grace, Chili Ave, Rochester, New York, 14611",43.14133,-77.663611
-77.663611,43.14133,166,Church of Saving Grace,Chili Ave,Rochester,New York,14611,81311008,866107,5,0,"Church of Saving Grace, Chili Ave, Rochester, New York, 14611",43.14133,-77.663611
-77.6497819999999,43.1471110000002,167,Church of the First Born,136 Fillmore St,Rochester,New York,14611,81311008,866107,1,0,"Church of the First Born, 136 Fillmore St, Rochester, New York, 14611",43.1471110000002,-77.6497819999999
-77.6497819999999,43.1471110000002,168,Church of the First Born,Fillmore St,Rochester,New York,14611,81311008,866107,1,0,"Church of the First Born, Fillmore St, Rochester, New York, 14611",43.1471110000002,-77.6497819999999
