OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
207,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,109377.873736775,2070.14991146013
208,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,221746.577983525,2925.37697607738
209,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,46499.441173445,1095.4017705102
210,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,15798.42961937,580.944736162834
211,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,14780.964448405,506.476215990516
212,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,46382.569046735,904.238712482917
213,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,58511.972612375,1176.48248358062
214,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,48370.87682565,1171.51889931841
215,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,30136.600950725,990.071298939552
216,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,44854.07157296,1143.87517668553
217,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,285692.396791265,3007.63351297655
218,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,83739.520948265,1596.46520562286
