OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
79,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,51654.676742075,1258.65273900715
80,PD #6,Planned Development District,PD #6,PD Planned Development District #6 Rochester General Hospital,PD #6 Zoning Code is,available online,https://ecode360.com/33553407, , , ,499546.745128295,3374.37336374507
81,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,202898.958587165,3579.67028904262
82,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,167287.913543975,1685.94835921209
83,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,102987.142499995,2579.92940930513
84,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,175252.31293789,2076.91552701995
85,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,13241.38990084,521.584082780103
86,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,568102.042702185,8637.56064351543
87,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,1666960.70792597,11377.6729856997
88,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,138971.048976235,11706.5174074867
89,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,2175.381553975,327.036938485308
90,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,25750.21455384,789.553008681068
91,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,4001.55790832,283.833067159239
92,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,6296.50311071,317.703614633762
93,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22854.365857845,652.085715181641
